,dj_odds,opp_odds,dj_win
91,1.14,5.0,1
92,1.72,2.0,1
93,1.66,2.2,1
94,1.28,3.5,1
95,1.28,3.5,1
96,8.0,1.07,0
97,1.07,7.5,1
98,1.2,4.33,1
99,1.33,3.4,0
100,1.03,11.0,1
101,1.01,13.0,1
102,1.05,9.0,1
103,1.36,3.0,1
104,1.53,2.5,1
105,8.5,1.06,0
106,1.1,6.5,1
107,1.14,5.0,0
108,1.03,11.0,1
109,1.04,9.0,1
110,1.16,4.5,1
111,2.1,1.72,1
112,1.57,2.37,1
113,1.03,11.0,1
114,1.01,13.0,0
115,1.25,3.75,1
116,1.36,3.0,1
117,1.66,2.2,1
118,2.2,1.66,1
119,4.33,1.22,1
120,1.16,4.5,0
121,1.02,12.0,1
122,1.08,7.0,1
123,1.16,4.5,1
124,1.08,7.0,1
125,1.19,4.5,1
126,1.3,3.5,1
127,4.5,1.2,0
128,1.08,7.0,1
129,1.01,13.0,1
130,1.11,6.0,1
131,1.11,6.0,1
132,1.22,4.33,1
133,1.19,4.33,1
134,1.16,4.5,1
135,1.3,3.5,1
136,1.4,3.0,0
137,1.06,8.0,0
138,1.33,3.25,0
139,1.4,2.75,0
140,4.5,1.16,0
141,1.03,11.0,1
142,1.005,17.0,1
143,1.03,11.0,1
144,1.16,4.5,1
145,1.36,3.2,1
146,3.4,1.33,1
147,1.33,3.4,1
148,1.02,12.0,1
149,1.16,4.5,0
150,1.14,5.0,1
151,1.1,6.5,1
152,1.12,5.5,1
153,1.38,2.87,0
154,1.07,7.5,1
155,1.14,5.0,1
156,1.14,5.0,1
157,1.1,7.0,1
158,1.57,2.37,1
159,1.19,4.5,1
160,1.05,9.0,0
161,1.12,5.5,1
162,1.33,3.25,1
163,1.05,10.0,1
164,1.07,7.5,1
165,1.14,5.0,1
166,1.25,4.0,1
167,1.12,5.5,1
168,1.1,6.5,1
169,1.07,8.0,1
170,2.87,1.4,0
171,1.01,13.0,1
172,1.01,15.0,1
173,1.01,15.0,1
174,1.07,7.5,1
175,1.07,8.0,1
176,4.5,1.2,0
177,1.03,11.0,1
178,1.11,6.0,1
179,1.38,2.87,1
180,1.28,3.5,1
181,1.7,2.15,0
182,1.01,15.0,1
183,1.05,9.0,0
184,1.07,7.5,1
185,1.11,6.0,1
186,1.12,6.0,0
187,1.07,7.5,1
188,1.1,6.5,1
189,1.2,4.5,1
190,2.75,1.44,1
191,1.33,3.4,0
192,1.01,13.0,1
193,1.01,13.0,1
194,1.12,5.5,1
195,1.07,7.5,1
196,1.61,2.25,1
197,2.1,1.72,0
198,1.02,12.0,1
199,1.2,4.33,1
200,1.16,4.5,1
201,1.28,3.75,0
202,1.22,4.0,0
203,1.33,3.25,0
204,1.4,2.75,1
205,1.44,2.75,1
206,1.44,2.62,0
207,1.38,3.0,1
208,2.0,1.8,1
209,1.16,4.5,0
210,1.2,4.33,1
211,1.2,4.33,1
212,1.11,6.0,0
213,1.03,11.0,1
214,1.01,13.0,1
215,1.25,3.75,1
216,1.12,5.5,1
217,1.03,11.0,1
218,1.05,9.0,1
219,1.61,2.2,0
220,1.02,12.0,1
221,1.03,11.0,1
222,1.38,2.75,1
223,1.44,2.62,1
224,1.4,2.87,1
225,1.01,15.0,1
226,1.1,6.5,1
227,1.1,6.5,1
228,1.57,2.37,0
229,1.06,8.0,1
230,1.1,6.0,1
231,1.2,4.33,1
232,1.61,2.25,1
233,3.2,1.36,1
234,1.4,2.87,0
235,1.05,9.0,1
236,1.08,7.0,1
237,1.8,1.9,1
238,1.3,3.5,1
239,8.0,1.07,0
240,1.06,8.0,1
241,1.16,4.5,1
242,1.22,4.33,1
243,1.72,2.1,1
244,6.5,1.11,0
245,1.06,8.0,1
246,1.06,8.0,1
247,1.05,9.0,1
248,1.01,15.0,1
249,1.03,11.0,1
250,1.04,11.0,1
251,1.07,8.0,1
252,6.5,1.11,0
253,1.005,21.0,1
254,1.04,10.0,0
255,1.06,8.0,1
256,1.02,12.0,1
257,1.11,6.0,1
258,1.05,9.0,1
259,1.33,3.4,0
260,1.04,10.0,1
261,1.01,15.0,1
262,1.25,3.75,1
263,1.03,11.0,1
264,1.36,3.2,0
265,1.03,11.0,1
266,1.14,5.0,1
267,1.9,1.8,0
268,1.11,6.0,1
269,1.14,5.0,1
270,1.28,3.4,1
271,2.37,1.57,1
272,2.75,1.44,0
273,1.04,10.0,1
274,1.01,15.0,1
275,1.01,15.0,1
276,1.16,4.5,1
277,1.33,3.4,1
278,4.33,1.22,0
279,1.08,7.0,1
280,1.12,5.5,1
281,1.36,3.0,1
282,1.44,2.62,1
283,1.36,3.2,1
284,1.03,11.0,1
285,1.02,12.0,1
286,1.2,4.33,1
287,1.36,3.0,0
288,1.08,7.0,1
289,1.07,7.5,1
290,1.33,3.25,1
291,1.8,2.0,1
292,1.22,4.33,1
293,1.4,3.0,1
294,1.4,3.0,0
295,1.4,2.87,1
296,1.01,15.0,1
297,1.02,12.0,1
298,1.01,15.0,1
299,1.01,13.0,1
300,1.4,3.0,0
301,1.05,9.0,1
302,1.14,5.0,0
303,1.03,11.0,1
304,1.08,7.0,1
305,1.14,5.0,1
306,1.25,3.75,1
307,1.36,3.25,1
308,1.12,5.5,1
309,1.2,4.33,1
310,1.28,3.5,0
311,1.05,9.0,0
312,1.16,4.5,1
313,1.36,3.0,1
314,1.4,2.75,1
315,1.4,3.0,0
316,1.08,7.0,1
317,1.14,5.0,1
318,1.44,2.62,0
319,1.03,11.0,1
320,1.02,12.0,1
321,1.04,10.0,1
322,1.1,6.5,1
323,1.05,9.0,1
324,1.2,4.5,0
325,1.03,11.0,1
326,1.16,4.5,0
327,1.11,6.0,1
328,1.14,5.0,1
329,1.03,11.0,1
330,1.8,1.9,1
331,1.12,6.0,1
332,1.8,2.0,0
333,1.08,7.0,1
334,1.16,4.5,1
335,1.2,4.33,1
336,2.25,1.61,0
337,1.14,5.0,1
338,1.57,2.25,1
339,1.5,2.5,0
340,1.08,7.0,1
341,1.1,6.5,1
342,1.1,6.5,1
343,1.28,3.5,1
344,1.22,4.33,1
345,3.5,1.3,1
346,3.25,1.36,0
347,1.005,21.0,1
348,1.2,4.33,1
349,1.22,4.0,1
350,1.25,4.0,1
351,1.12,5.5,1
352,1.14,5.0,1
353,1.06,8.0,1
354,2.2,1.66,0
355,1.11,6.0,1
356,1.16,4.5,1
357,1.07,7.5,1
358,1.2,4.33,1
359,2.75,1.44,0
360,1.12,5.5,1
361,1.14,5.0,0
362,1.2,4.5,1
363,1.9,1.9,0
364,1.38,3.0,1
365,3.0,1.38,0
366,1.01,15.0,1
367,1.01,15.0,1
368,1.06,8.0,1
369,1.28,3.75,1
370,2.87,1.4,1
371,1.61,2.4,1
372,1.07,7.5,1
373,1.04,10.0,1
374,1.04,10.0,1
375,2.5,1.53,1
376,1.03,11.0,1
377,1.06,8.0,1
378,1.08,7.0,1
379,1.07,7.5,1
380,1.61,2.25,1
381,1.72,2.1,1
382,1.03,11.0,1
383,1.01,15.0,1
384,1.04,10.0,1
385,1.02,12.0,1
386,1.07,8.0,1
387,2.0,1.8,1
388,1.01,15.0,1
389,1.005,21.0,1
390,1.04,11.0,1
391,1.02,12.0,1
392,1.05,9.0,1
393,1.3,3.5,1
394,1.08,7.5,1
395,3.6,1.28,1
396,1.01,21.0,1
397,1.05,9.0,1
398,1.16,5.0,1
399,1.16,5.0,1
400,2.75,1.44,1
401,1.01,21.0,1
402,1.12,5.5,1
403,1.04,10.0,1
404,1.33,3.4,0
405,1.01,15.0,1
406,1.01,15.0,1
407,1.02,12.0,1
408,1.06,9.0,1
409,1.07,8.0,1
410,1.44,2.75,1
411,2.3,1.66,1
412,1.05,11.0,1
413,1.1,7.0,1
414,1.07,9.0,1
415,1.07,9.0,1
416,1.03,15.0,1
417,1.05,11.0,1
418,1.06,10.0,1
419,1.002,34.0,1
420,1.02,17.0,1
421,1.02,19.0,1
422,1.53,2.5,1
423,1.57,2.37,1
424,1.04,13.0,1
425,1.02,17.0,1
426,1.05,11.0,1
427,1.05,11.0,0
428,1.25,3.75,1
429,1.22,4.0,1
430,1.3,3.4,1
431,1.28,3.6,0
432,1.3,3.5,0
433,1.002,34.0,1
434,1.002,34.0,1
435,1.01,21.0,1
436,1.1,8.0,1
437,1.36,3.3,1
438,1.66,2.3,1
439,1.01,26.0,1
440,1.01,26.0,1
441,1.1,7.0,1
442,1.33,3.4,0
443,1.01,23.0,1
444,1.04,13.0,1
445,1.01,26.0,1
446,1.08,8.0,1
447,1.1,7.0,0
448,1.07,9.0,1
449,1.03,15.0,1
450,1.05,11.0,1
451,1.22,4.33,1
452,1.05,11.0,1
453,1.41,2.9,1
454,1.01,21.0,1
455,1.08,8.0,1
456,1.04,13.0,1
457,1.28,3.75,1
458,2.1,1.72,0
459,1.01,26.0,1
460,1.16,5.0,1
461,1.1,7.0,0
462,1.03,15.0,1
463,1.08,8.0,1
464,1.16,5.0,1
465,1.85,1.95,1
466,2.25,1.61,0
467,1.002,34.0,1
468,1.02,19.0,1
469,1.16,5.0,1
470,1.53,2.5,1
471,4.33,1.25,0
472,1.01,23.0,1
473,1.01,21.0,1
474,1.01,23.0,1
475,1.02,19.0,1
476,1.02,17.0,1
477,1.44,2.87,0
478,1.07,9.0,1
479,1.1,7.0,1
480,1.1,7.0,1
481,1.16,5.0,1
482,1.11,6.5,1
483,1.04,13.0,1
484,1.08,8.0,1
485,1.25,4.0,1
486,1.53,2.5,0
487,1.002,34.0,1
488,1.01,21.0,1
489,1.12,6.0,1
490,1.07,9.0,1
491,1.44,2.87,0
492,1.01,26.0,1
493,1.01,26.0,1
494,1.02,17.0,1
495,1.02,17.0,1
496,1.18,4.5,1
497,1.02,17.0,1
498,1.02,17.0,1
499,1.06,10.0,1
500,1.14,5.5,1
501,1.57,2.37,1
502,1.08,8.0,0
503,1.25,4.0,1
504,1.8,2.0,1
505,1.18,4.5,1
506,1.16,5.0,1
507,1.61,2.3,1
508,1.002,29.0,1
509,1.002,34.0,1
510,1.02,19.0,1
511,1.16,5.0,1
512,1.08,8.0,1
513,1.53,2.62,1
514,1.02,19.0,1
515,1.01,26.0,1
516,1.02,17.0,1
517,1.1,7.0,1
518,1.11,6.5,1
519,1.002,29.0,1
520,1.02,17.0,1
521,1.04,13.0,1
522,1.08,8.0,1
523,1.11,6.5,0
524,1.01,26.0,1
525,1.002,34.0,1
526,1.05,11.0,0
527,1.06,10.0,1
528,1.1,7.0,1
529,1.11,6.5,1
530,1.12,6.0,1
531,2.87,1.4,1
532,1.05,11.0,0
533,1.01,21.0,1
534,1.06,10.0,1
535,1.12,6.0,0
536,1.002,29.0,1
537,1.07,9.0,1
538,1.03,15.0,1
539,1.08,8.0,1
540,2.3,1.61,0
541,1.01,26.0,1
542,1.002,29.0,1
543,1.02,19.0,1
544,1.1,7.0,1
545,1.1,7.0,1
546,1.16,5.0,1
547,1.57,2.5,0
548,1.03,15.0,1
549,1.02,17.0,1
550,1.11,6.5,1
551,1.4,3.0,0
552,1.03,15.0,1
553,1.02,19.0,1
554,1.1,7.0,0
555,1.002,34.0,1
556,1.002,34.0,1
557,1.01,26.0,1
558,1.02,17.0,1
559,1.14,5.5,1
560,2.2,1.66,0
561,1.01,21.0,1
562,1.04,13.0,1
563,1.05,11.0,1
564,1.1,7.0,1
565,1.72,2.1,1
566,1.01,21.0,1
567,1.06,10.0,1
568,1.1,7.0,1
569,1.14,5.5,1
570,1.33,3.4,1
571,1.01,23.0,1
572,1.14,5.5,1
573,1.14,5.5,1
574,1.28,3.75,1
575,1.12,6.0,1
576,1.28,3.75,1
577,1.28,3.75,1
578,1.06,10.0,1
579,1.14,5.5,1
580,1.57,2.37,1
581,1.002,34.0,1
582,1.01,26.0,1
583,1.01,26.0,1
584,1.07,9.0,0
585,1.02,17.0,1
586,1.02,17.0,1
587,1.22,4.33,0
588,1.0166666666666668,34.0,1
589,1.01,26.0,1
590,1.14,5.5,1
591,1.05,11.0,1
592,1.14,5.5,1
593,1.53,2.5,1
594,1.02,17.0,1
595,1.04,13.0,1
596,1.28,3.75,1
597,1.72,2.1,1
598,1.01,21.0,1
599,1.01,26.0,1
600,1.01,21.0,1
601,1.28,3.75,0
602,1.03,15.0,1
603,1.1,7.0,1
604,1.33,3.4,1
605,1.12,6.0,1
606,2.1,1.72,1
607,1.01,21.0,1
608,1.02,19.0,1
609,1.1,7.0,1
610,1.07,9.0,1
611,1.1,7.0,1
612,2.2,1.66,0
613,1.01,26.0,1
614,1.03,15.0,1
615,1.01,21.0,1
616,1.08,8.0,1
617,1.08,8.0,1
618,1.25,4.0,1
619,1.61,2.4,1
620,1.07,9.0,1
621,1.12,6.0,0
622,1.05,11.0,1
623,1.1,7.0,0
624,1.002,34.0,1
625,1.01,26.0,1
626,1.01,21.0,1
627,1.04,13.0,1
628,1.25,4.0,1
629,1.1,7.0,0
630,1.04,13.0,1
631,1.03,15.0,1
632,1.16,5.0,1
633,1.3,3.5,1
634,1.14,5.5,1
635,1.03,15.0,1
636,1.02,19.0,1
637,1.1,7.0,1
638,1.33,3.4,0
639,1.14,5.5,1
640,1.16,5.0,1
641,1.36,3.25,1
642,1.2,4.5,1
643,1.16,5.0,1
644,1.12,6.0,1
645,1.14,5.5,1
646,1.07,9.0,1
647,1.07,9.0,1
648,1.03,15.0,1
649,1.02,17.0,1
650,1.05,11.0,0
651,1.01,26.0,1
652,1.01,26.0,1
653,1.03,15.0,1
654,1.02,17.0,1
655,1.11,6.5,1
656,1.22,4.33,1
657,1.44,2.75,1
658,1.02,15.0,1
659,1.01,21.0,1
660,1.01,26.0,1
661,1.11,6.5,1
662,1.44,2.75,0
663,1.02,17.0,1
664,1.01,26.0,1
665,1.1,7.0,1
666,1.3,3.5,1
667,1.5,2.62,1
668,1.02,17.0,1
669,1.02,19.0,1
670,1.04,13.0,1
671,1.11,6.5,1
672,1.14,5.5,1
673,1.28,3.75,1
674,1.02,19.0,1
675,1.01,21.0,1
676,1.04,13.0,1
677,1.4,3.0,1
678,1.07,9.0,1
679,1.03,15.0,1
680,1.02,19.0,1
681,1.2,4.5,1
682,1.12,6.0,1
683,1.36,3.25,1
684,1.002,34.0,1
685,1.002,34.0,1
686,1.005,29.0,1
687,1.02,19.0,1
688,1.33,3.4,1
689,1.16,5.0,1
690,1.12,6.0,0
691,1.03,15.0,1
692,1.005,34.0,1
693,1.02,17.0,1
694,1.03,15.0,1
695,1.08,7.5,1
696,1.06,10.0,1
697,1.83,2.0,1
698,1.01,21.0,1
699,1.04,13.0,1
700,1.04,11.0,1
701,1.04,13.0,1
702,1.44,2.75,0
703,1.03,15.0,1
704,1.06,10.0,1
705,1.25,4.0,1
706,1.1,7.0,1
707,1.9,1.9,0
708,1.005,34.0,1
709,1.01,26.0,1
710,1.005,26.0,1
711,1.02,15.0,1
712,1.12,6.0,1
713,1.66,2.2,1
714,1.03,11.0,1
715,1.002,41.0,1
716,1.08,8.0,1
717,1.07,9.0,1
718,1.1,7.0,1
719,1.01,21.0,1
720,1.03,15.0,1
721,1.01,21.0,1
722,1.28,3.75,1
723,1.06,10.0,1
724,1.03,13.0,1
725,1.04,13.0,1
726,1.1,7.0,1
727,1.12,6.0,1
728,1.25,4.0,1
729,1.05,11.0,1
730,1.3,3.5,0
731,1.06,10.0,1
732,1.2,4.5,1
733,1.44,2.75,1
734,1.01,21.0,1
735,1.02,15.0,1
736,1.01,21.0,1
737,1.07,9.0,1
738,1.14,5.5,1
739,1.002,41.0,1
740,1.01,26.0,1
741,1.01,21.0,1
742,1.12,6.0,1
743,1.3,3.5,1
744,1.2,5.0,1
745,1.02,17.0,1
746,1.005,34.0,1
747,1.005,29.0,1
748,1.1,7.0,1
749,1.07,9.0,1
750,1.11,6.5,1
751,1.14,5.5,1
752,1.14,5.5,1
753,1.01,23.0,1
754,1.01,26.0,1
755,1.1,7.0,1
756,1.08,8.0,1
757,1.07,9.0,1
758,1.14,5.5,1
759,1.01,23.0,0
760,1.05,11.0,1
761,1.04,13.0,1
762,1.1,7.0,1
763,1.12,6.0,1
764,1.25,4.0,1
765,1.005,34.0,1
766,1.04,13.0,1
767,1.36,3.4,1
768,1.14,5.5,1
769,1.44,2.75,0
770,1.005,34.0,1
771,1.005,34.0,1
772,1.01,21.0,1
773,1.06,10.0,1
774,1.08,8.0,1
775,1.3,3.5,1
776,1.005,34.0,1
777,1.005,34.0,1
778,1.01,26.0,0
779,1.03,15.0,1
780,1.03,15.0,1
781,1.1,7.0,1
782,1.1,7.0,1
783,1.11,6.5,1
784,1.01,26.0,1
785,1.06,10.0,1
786,1.14,5.5,1
787,1.33,3.4,0
788,1.04,13.0,1
789,1.03,15.0,1
790,1.02,15.0,1
791,1.14,5.5,0
792,1.08,8.0,1
793,1.11,6.5,1
794,1.18,4.5,0
795,1.12,6.0,1
796,1.22,4.33,1
797,1.1,7.0,1
798,1.22,4.33,1
799,1.53,2.5,0
800,1.03,15.0,1
801,1.02,19.0,1
802,1.02,17.0,1
803,1.08,8.0,1
804,2.3,1.61,1
805,1.06,10.0,1
806,1.01,23.0,0
807,1.07,9.0,1
808,1.25,3.75,1
809,1.33,3.25,0
810,1.07,9.0,1
811,1.36,3.25,1
812,1.4,3.0,0
813,1.08,8.0,1
814,1.12,6.0,1
815,1.33,3.4,0
816,1.14,5.5,1
817,1.14,5.5,1
818,2.75,1.44,0
819,1.11,6.5,1
820,1.22,4.33,1
821,1.44,2.75,1
822,1.57,2.37,1
823,1.16,5.0,0
824,1.01,21.0,1
825,1.01,21.0,1
826,1.05,11.0,1
827,1.1,7.0,1
828,1.44,2.75,0
829,1.18,4.5,1
830,1.1,7.0,1
831,1.12,6.0,1
832,1.16,5.0,1
833,1.01,26.0,1
834,1.07,9.0,1
835,1.03,15.0,1
836,1.07,8.0,1
837,1.25,4.0,1
838,1.08,8.0,1
839,1.25,4.0,0
840,1.1,7.0,0
841,1.2,4.33,0
842,1.28,3.5,1
843,1.36,3.0,1
844,1.61,2.3,0
845,1.16,5.0,0
846,1.66,2.1,1
847,1.28,3.5,0
848,1.12,6.0,1
849,1.1,7.0,1
850,1.16,5.0,1
851,1.53,2.5,1
852,5.0,1.16,0
853,1.06,11.0,1
854,1.07,9.0,1
855,1.16,5.0,1
856,1.22,4.33,1
857,1.08,9.0,0
858,1.12,6.0,1
859,1.36,3.0,1
860,1.08,8.0,1
861,1.11,6.5,1
862,1.66,2.2,0
863,1.03,15.0,1
864,1.01,23.0,1
865,1.25,4.0,1
866,1.11,7.0,1
867,1.12,6.0,1
868,1.9,1.9,1
869,1.16,5.0,1
870,1.04,11.0,1
871,1.06,10.0,1
872,1.22,4.0,0
873,1.14,5.5,1
874,1.1,7.0,1
875,1.25,3.75,1
876,1.36,3.25,1
877,1.44,2.75,1
878,2.1,1.72,1
879,1.02,19.0,1
880,1.02,17.0,1
881,1.08,9.0,1
882,1.02,19.0,1
883,1.06,11.0,1
884,1.16,5.0,1
885,1.44,2.75,1
886,1.08,8.0,1
887,1.05,12.0,1
888,1.16,5.0,1
889,1.33,3.4,1
890,1.12,6.0,1
891,1.02,17.0,1
892,1.14,5.5,1
893,1.4,3.0,1
894,1.16,5.0,0
895,1.11,7.0,1
896,1.14,5.5,1
897,1.2,4.5,1
898,1.11,7.0,1
899,1.14,5.5,0
900,1.05,11.0,1
901,1.04,13.0,1
902,1.06,10.0,1
903,1.16,5.0,0
904,1.005,29.0,1
905,1.06,10.0,1
906,1.05,11.0,1
907,1.11,6.5,1
908,1.05,11.0,1
909,1.74,2.15,1
910,1.02,17.0,1
911,1.07,9.0,0
912,1.04,13.0,1
913,1.04,13.0,1
914,1.2,4.5,0
915,1.16,5.0,1
916,1.07,9.0,1
917,1.22,4.33,0
918,1.1,7.0,1
919,1.08,8.0,1
920,1.8,2.0,1
921,1.4,3.0,1
922,1.1,7.0,1
923,1.08,8.0,1
924,1.1,7.0,1
925,1.11,6.5,1
926,2.75,1.44,0
927,1.03,15.0,1
928,1.005,29.0,1
929,1.005,29.0,1
930,1.04,13.0,1
931,1.1,7.0,1
932,1.44,2.75,0
933,1.03,15.0,1
934,1.01,26.0,1
935,1.01,23.0,1
936,1.02,17.0,1
937,1.08,8.0,1
938,1.08,8.0,1
939,1.55,2.6,1
940,1.1,7.0,1
941,1.06,10.0,1
942,1.04,13.0,1
943,1.33,3.4,0
944,1.005,34.0,1
945,1.01,26.0,1
946,1.08,8.0,1
947,1.11,6.5,1
948,1.04,13.0,1
949,1.14,5.5,1
950,1.14,5.5,1
951,1.05,11.0,1
952,1.1,7.0,1
953,1.11,6.5,1
954,1.14,5.5,0
955,1.03,15.0,1
956,1.1,7.0,1
957,1.3,3.5,1
958,1.12,6.0,1
959,1.12,6.0,1
960,1.01,23.0,1
961,1.005,29.0,1
962,1.01,23.0,1
963,1.04,13.0,1
964,1.12,6.0,1
965,1.11,6.5,1
966,1.25,4.0,1
967,1.02,19.0,1
968,1.07,9.0,1
969,1.11,6.5,1
970,1.3,3.5,1
971,1.07,9.0,1
972,1.16,5.0,1
973,1.14,5.5,1
974,1.2,4.5,1
975,1.36,3.2,1
976,1.01,26.0,1
977,1.03,15.0,1
978,1.05,11.0,1
979,1.04,13.0,1
980,1.16,5.0,1
981,1.03,15.0,1
982,1.16,5.0,1
983,1.16,5.0,1
984,1.01,23.0,1
985,1.005,34.0,1
986,1.04,13.0,1
987,1.06,10.0,1
988,1.33,3.4,1
989,2.1,1.72,0
990,1.08,8.0,1
991,1.12,6.0,1
992,1.03,15.0,0
993,1.12,6.0,1
994,1.4,2.75,0
995,1.33,3.25,1
996,1.57,2.25,0
997,1.01,26.0,1
998,1.01,21.0,1
999,1.44,2.75,1
1000,1.57,2.37,1
1001,1.07,9.0,1
1002,1.83,2.0,1
1003,1.33,3.4,1
1004,1.05,11.0,0
1005,1.01,21.0,1
1006,1.05,11.0,1
1007,1.12,6.0,0
1008,1.11,6.5,1
1009,1.16,5.0,1
1010,1.57,2.37,1
1011,1.16,5.0,1
1012,2.62,1.5,0
1013,1.01,26.0,1
1014,1.02,19.0,1
1015,1.02,19.0,1
1016,1.02,19.0,1
1017,1.02,19.0,1
1018,1.16,5.0,1
1019,3.0,1.4,1
1020,1.4,3.0,1
1021,1.01,26.0,1
1022,1.02,19.0,1
1023,1.02,19.0,1
1024,1.01,21.0,1
1025,1.03,15.0,1
1026,1.08,8.0,1
1027,1.22,4.5,1
1028,1.01,23.0,1
1029,1.01,26.0,1
1030,1.03,15.0,1
1031,1.03,15.0,1
1032,1.1,7.0,1
1033,1.4,3.0,1
1034,1.4,3.0,0
1035,1.08,8.0,1
1036,1.22,4.33,1
1037,1.16,5.0,1
1038,2.0,1.8,1
1039,1.11,6.5,1
1040,1.22,4.33,1
1041,1.14,5.5,1
1042,1.4,3.0,0
1043,1.06,10.0,1
1044,1.12,6.0,1
1045,1.05,11.0,0
1046,1.16,5.0,0
1047,1.14,5.5,1
1048,1.53,2.5,1
1049,1.25,4.0,1
1050,1.4,3.0,0
1051,1.2,4.5,1
1052,1.3,3.5,1
1053,1.72,2.1,0
1054,1.08,8.0,1
1055,1.07,9.0,1
1056,1.16,5.0,1
1057,1.2,4.5,1
1058,1.44,2.75,1
1059,1.01,26.0,1
1060,1.03,15.0,1
1061,1.01,21.0,1
1062,1.07,9.0,1
1063,1.44,2.75,0
1064,1.005,34.0,1
1065,1.02,17.0,1
1066,1.02,17.0,1
1067,1.05,11.0,1
1068,1.11,6.5,1
1069,1.06,10.0,1
1070,1.28,3.75,1
1071,1.03,15.0,1
1072,1.06,10.0,1
1073,1.06,10.0,1
1074,1.25,4.0,1
1075,1.05,11.0,1
1076,1.08,8.0,1
1077,1.12,6.0,1
1078,1.25,4.0,1
1079,1.06,10.0,1
1080,1.08,8.0,1
1081,1.11,6.5,1
1082,1.2,4.5,1
1083,1.25,4.0,0
1084,1.33,3.4,1
1085,1.3,3.5,1
1086,1.33,3.4,1
1087,1.22,4.33,1
1088,1.22,4.33,1
1089,1.03,17.0,1
1090,1.03,15.0,1
1091,1.14,5.5,1
1092,1.53,2.5,1
1093,1.14,5.5,1
1094,1.01,29.0,1
1095,1.01,29.0,1
1096,1.2,4.5,1
1097,1.2,4.5,1
1098,1.11,6.5,1
1099,1.05,11.0,1
1100,1.2,4.8,1
1101,1.05,11.0,1
1102,1.06,10.0,1
1103,1.1,7.0,1
1104,1.44,2.75,0
1105,1.02,19.0,1
1106,1.17,5.0,0
1107,1.06,10.0,1
1108,1.08,8.0,0
1109,1.11,6.5,1
1110,1.14,5.5,1
1111,1.17,5.0,1
1112,1.33,3.4,0
1113,1.01,29.0,1
1114,1.05,11.0,1
1115,1.13,6.0,1
1116,1.03,15.0,1
1117,1.08,8.0,1
1118,2.63,1.5,1
1119,1.2,4.8,1
1120,1.01,34.0,1
1121,1.03,15.0,1
1122,1.04,15.0,1
1123,1.05,11.0,1
1124,1.07,9.0,1
1125,1.2,4.5,1
1126,1.53,2.63,0
1127,1.13,6.0,1
1128,1.22,4.33,1
1129,1.29,3.75,1
1130,1.62,2.3,1
1131,1.01,29.0,1
1132,1.01,34.0,1
1133,1.01,26.0,1
1134,1.02,19.0,1
1135,1.13,6.0,1
1136,1.06,10.0,1
1137,1.44,2.88,1
1138,1.05,11.0,1
1139,1.1,7.0,1
1140,1.29,3.75,1
1141,1.36,3.2,1
1142,1.33,3.4,1
1143,1.2,4.5,1
1144,1.62,2.3,0
1145,1.14,5.5,1
1146,1.62,2.3,1
1147,1.53,2.5,1
1148,1.01,34.0,1
1149,1.02,19.0,1
1150,1.05,11.0,1
